animal,date,k,state,block,session,start_s,end_s,lambda,fit_r2,rho_raw,candidate,nodes,Q,Q_over_awake,Cspec,Cspec_over_awake,Aspec,Aspec_over_awake,Deff_frac,Deff_frac_over_awake,Gpair,Gpair_over_awake,Oorg,Oorg_over_awake,top_share,top_share_over_awake,WMI,WMI_over_awake
Su,20110526,3,eyes_open,5,1,893.8399999999998,973.8399999999998,0.003,0.2834964125551732,0.9418416953968807,30;35;58,BP061-062;BP071-072;BP117-118,0.19887624639487267,1.1002189696730575,0.2258789553441077,1.1590402523277485,0.8804549591257907,0.9492500087580584,0.9378511685422799,0.9939222663532522,0.7504688469424546,1.2365764800724088,0.7038280850595585,1.2290608975926958,0.4954988139419969,1.0136693478788121,0.13997468766393614,1.3522361144148791
Su,20110526,3,eyes_open,6,1,1106.08,1186.08,0.003,0.27707287534360425,0.8976753663618441,30;35;58,BP061-062;BP071-072;BP117-118,0.21799185449866854,1.2059699330680227,0.22323634474862564,1.1454803700150051,0.9765070053630261,1.0528071581464336,0.933298983458143,0.9890979207988105,0.4727489591232404,0.778966703564362,0.44121612298061547,0.770474346867014,0.5119258375421082,1.0472750192382272,0.09618152088325688,0.9291688965218405
Su,20110526,3,eyes_closed,1,1,1500.2,1580.2,0.003,0.20613448740472828,0.7211819601769597,30;35;58,BP061-062;BP071-072;BP117-118,0.2608573922555186,1.4431097556473524,0.27889161886837033,1.431061215122281,0.9353360754043907,1.0084193047772885,0.955162825543772,1.012268931515484,0.6909254322429815,1.1384644978621572,0.6599462881012582,1.152432240819238,0.4649502139289927,0.9511743860696451,0.17215186774280355,1.6630862094487828
Su,20110526,3,eyes_closed,2,1,1714.944,1794.944,0.003,0.22837212317695932,0.7766561785647552,30;35;58,BP061-062;BP071-072;BP117-118,0.35154759253686974,1.9448241660997603,0.4155262897557695,2.132167182169074,0.8460297247221013,0.9121349312399003,0.9435066513539642,0.9999158722494288,0.5121693825090075,0.8439212564307966,0.4832352190171012,0.8438502592338338,0.49222438477284336,1.0069706668988012,0.16988017787448872,1.6411403767275061
Su,20110526,3,eyes_closed,3,1,1929.688,2009.688,0.003,0.2308497674749297,0.7604560046593205,30;35;58,BP061-062;BP071-072;BP117-118,0.36949189465213095,2.044095255245094,0.44045781581779897,2.260096949746708,0.8388814578442536,0.9044281288349946,0.9647178911308796,1.0223952636692877,0.6961394709796167,1.1470558707008538,0.671578202376422,1.1727444893686039,0.45691465790618946,0.9347356043727183,0.24814270240313624,2.397201446333193
Su,20110526,3,eyes_closed,4,1,2144.432,2224.432,0.003,0.17963136521010448,0.7150456889324441,30;35;58,BP061-062;BP071-072;BP117-118,0.21850779935730175,1.2088242323172476,0.26348022213604533,1.3519815632346357,0.8293138573584375,0.8941129562633368,0.9098036245735384,0.9641978501536286,0.5607913828040199,0.9240376026640152,0.5102100327047039,0.8909550699497564,0.5389143906334815,1.1024869960231554,0.11148487145632183,1.0770080784611742
Su,20110526,3,eyes_closed,5,1,2359.176,2439.176,0.003,0.27752234421255284,0.7865662348883278,30;35;58,BP061-062;BP071-072;BP117-118,0.3052998934837771,1.6889736222348344,0.3939249505250235,2.0213254190022503,0.7750204526950455,0.8355772931745603,0.9290098269072516,0.9845523294056346,0.6050639401720543,0.9969872039392909,0.5621103463270599,0.9815860740260394,0.5009021761694021,1.0247233050453939,0.17161222885978042,1.6578729869830298
Su,20110526,3,eyes_closed,6,1,2573.92,2653.92,0.003,0.20496638233647912,0.778437846646129,30;35;58,BP061-062;BP071-072;BP117-118,0.32664965154504494,1.8070843028351633,0.3564292556204513,1.8289258233108612,0.9164501689863596,0.9880577330161161,0.8743883055037197,0.9266651633327443,0.522758167695282,0.8613688064086977,0.457093628439307,0.798200465680447,0.5629192707040946,1.151595107773219,0.14930947445315984,1.442415532046853
Su,20110526,3,deep_anesthesia,1,2,1181.39,1261.39,0.003,0.5532402469734328,0.8676529719789001,30;35;58,BP061-062;BP071-072;BP117-118,0.33059650958948794,1.8289190275437188,0.4288698855291967,2.20063644079758,0.7708550325970172,0.8310864046588543,0.9249898032141575,0.9802919614561609,0.5126349475278543,0.8446883858787358,0.4741820992344899,0.8280412346123045,0.5102532264583507,1.04385326617077,0.15676294691673864,1.5144203695732372
Su,20110526,3,deep_anesthesia,2,2,1500.708,1580.708,0.003,0.5550425447521962,0.8734690878370936,30;35;58,BP061-062;BP071-072;BP117-118,0.414044579246744,2.290568675924647,0.48201827293792954,2.473353836090942,0.8589810853499766,0.9260982567479381,0.836491980045602,0.8865031387501682,0.35251582194321374,0.5808539235763862,0.2948766578946817,0.5149288264058167,0.6248918660224637,1.278375875991329,0.12209208174768961,1.1794798400958046
Su,20110526,3,deep_anesthesia,3,2,1820.026,1900.026,0.003,0.5882796773017858,0.8897112988503458,30;35;58,BP061-062;BP071-072;BP117-118,0.3724193954013685,2.0602907130558177,0.45009353233172483,2.309540171593761,0.8274266761222654,0.8920783186178822,0.8654095884964476,0.9171496377822634,0.5430419332671741,0.8947911497020863,0.4699536960050605,0.8206573788400435,0.5848659062544013,1.1964925547911598,0.17501987133284344,1.6907927762248747
Su,20110526,3,deep_anesthesia,4,2,2139.344,2219.344,0.003,0.6020868642788172,0.8742962040472539,30;35;58,BP061-062;BP071-072;BP117-118,0.37260687518568686,2.0613278847587053,0.40018866858935753,2.053466090782566,0.9310780250203112,1.0038285482343383,0.8716237868668454,0.9237353630391554,0.5489076860183684,0.9044563768725394,0.4784409959276476,0.8354783396434344,0.5811687462592295,1.18892906996363,0.17827040445332873,1.7221947986189163
Su,20110526,3,deep_anesthesia,5,2,2458.6620000000003,2538.6620000000003,0.003,0.6128523841668663,0.8868180267245976,30;35;58,BP061-062;BP071-072;BP117-118,0.35644073945156407,1.9718939301089562,0.4136226968761146,2.122399380789776,0.8617533373859383,0.9290871209052017,0.8042350688646529,0.8523176908433779,0.37830941002172375,0.6233550140407147,0.3042496944209672,0.5312965061428234,0.6485278535297166,1.3267293238075601,0.10844698605732202,1.04766035555113
Su,20110526,3,deep_anesthesia,6,2,2777.98,2857.98,0.003,0.5857329368091476,0.8908701826903233,30;35;58,BP061-062;BP071-072;BP117-118,0.3439770331468964,1.9029424773467094,0.3583461630285416,1.8387619447971557,0.959901538333199,1.0349042097217396,0.8360481675602213,0.8860327921471021,0.44950989829102617,0.7406748062242295,0.37581192676639386,0.6562621666318679,0.5793716980307897,1.1852527489421174,0.1292706715903228,1.2488291531593652
Su,20110526,3,recovery_eyes_closed,1,3,536.0699999999999,616.0699999999999,0.003,0.15168878968207344,0.7777234993727573,30;35;58,BP061-062;BP071-072;BP117-118,0.15930732701148795,0.8813166296287606,0.17428065855048372,0.894276751698587,0.9140849497383643,0.985507705477963,0.7489543795414861,0.7937319473260419,0.5948394484467613,0.9801399143553146,0.4455076100382439,0.7779683628732237,0.6422773997771811,1.3139424246243443,0.07097262651846901,0.6856364555252346
Su,20110526,3,recovery_eyes_closed,2,3,866.228,946.228,0.003,0.21389390575441214,0.8373566685393189,30;35;58,BP061-062;BP071-072;BP117-118,0.18710726045005002,1.0351108342117716,0.19725540018353377,1.012165779027267,0.948553298292257,1.0226692659047967,0.8060385339375088,0.8542289792787147,0.487492822830525,0.803260736767874,0.3929380002193741,0.6861685992638893,0.5603536723060276,1.146346521133026,0.07352155274776831,0.710260551193968
Su,20110526,3,recovery_eyes_closed,3,3,1196.386,1276.386,0.003,0.19888769954842167,0.8174508529627209,30;35;58,BP061-062;BP071-072;BP117-118,0.23999386032344652,1.3276889649689685,0.25977006809115255,1.332943853972096,0.9238703368982195,0.9960576816589325,0.8158943351093809,0.8646740270283486,0.5032443495119066,0.8292151351400199,0.4105942139425699,0.7170007901743773,0.5595786428062471,1.1447610003900413,0.0985400904305483,0.9519540369885504
