animal,fold,heldout_date,training_dates,lambda,k,candidate,Q_deep_anesthesia_over_awake,Cspec_deep_anesthesia_over_awake,Aspec_deep_anesthesia_over_awake,Deff_frac_deep_anesthesia_over_awake,Gpair_deep_anesthesia_over_awake,Oorg_deep_anesthesia_over_awake,top_share_deep_anesthesia_over_awake,WMI_deep_anesthesia_over_awake,Q_recovery_eyes_closed_over_awake,Q_recovery_eyes_open_over_awake,Cspec_recovery_eyes_closed_over_awake,Cspec_recovery_eyes_open_over_awake,Aspec_recovery_eyes_closed_over_awake,Aspec_recovery_eyes_open_over_awake,Deff_frac_recovery_eyes_closed_over_awake,Deff_frac_recovery_eyes_open_over_awake,Gpair_recovery_eyes_closed_over_awake,Gpair_recovery_eyes_open_over_awake,Oorg_recovery_eyes_closed_over_awake,Oorg_recovery_eyes_open_over_awake,top_share_recovery_eyes_closed_over_awake,top_share_recovery_eyes_open_over_awake,WMI_recovery_eyes_closed_over_awake,WMI_recovery_eyes_open_over_awake
George,LODO,20110113,20110112;20110114,0.001,4,8;17;19;39,1.6150976869173228,1.6665461764293,0.9691286744768096,0.9819689409511716,1.04326192926118,1.0244508118112772,0.9358474620410996,1.6545881365169657,0.6855990975768481,0.7450573705025992,0.5953619480825899,0.6837531736777384,1.1515668742096703,1.0896583726187636,1.070637683743993,1.0789839615689203,1.4806616734990672,1.0540289255421749,1.5852521845235457,1.1372803056897285,0.8276027657740196,0.832912284077476,1.0868474671410702,0.8473390740815818
George,LODO,20110113,20110112;20110114,0.001,5,8;11;17;19;39,1.7942366520589932,1.8287951241954803,0.981103147269331,1.0489253219139278,1.1579379046657747,1.2145903894078869,0.8258283445147804,2.179262593914233,0.8656600264748515,0.7988329838575944,0.7800878006395108,0.7191250841683297,1.1096956339596509,1.1108401047940737,1.051222900024294,1.123981772821955,1.4035602222544794,1.1984286219989444,1.4754546471970964,1.347011927154946,0.9386196652014837,0.7776588269935534,1.2772421089550816,1.076037557060957
George,LODO,20110114,20110112;20110113,0.001,3,9;17;21,2.287996214723361,2.257389063013723,1.013558651546214,0.9640053513646764,1.1147909974639596,1.0746644872084226,1.0225560633110575,2.4588282788305027,1.4379926248551531,0.851413859245725,1.5283827850425422,0.9836353115791006,0.9408589516500784,0.8655787863887165,0.8806970893522744,0.9551800278503862,0.910667782498767,0.6814408885826364,0.802022465413554,0.6508987269347546,1.09357655706584,1.0174872063659308,1.1533023902328416,0.5541841970776481
George,LODO,20110114,20110112;20110113,0.001,4,9;17;21;39,1.9091016196001191,1.8445315517596128,1.0350062148727732,0.9243387614519912,0.734336187142207,0.6787754017124054,1.099423824641926,1.295851218753878,1.1840643739624768,0.762427243761674,1.2270785766102288,0.844905456059663,0.9649458449787482,0.9023817260186272,0.8363034242997873,0.9858128868176914,0.5783338531638339,0.5394460955535001,0.4836625817894046,0.5317929127401282,1.1853251065148276,1.0123718390234304,0.5726876321155477,0.4054534047124475
George,LODO,20110114,20110112;20110113,0.001,5,2;9;17;21;39,1.8839829707900484,1.9081822216374869,0.9873181656484188,0.9611764009404246,0.6891701070552831,0.6624140431351242,1.0841662698148966,1.2479767768787622,1.2340383804029498,0.816174818602768,1.459638183900734,0.8937840285997269,0.8454412840208855,0.9131678263276334,0.9285828501398536,1.0577949486265597,0.5493460850543535,0.6118749196436478,0.510113353372942,0.6472381991903328,1.1063272980448766,0.926238846812952,0.6294994564182635,0.5282595198169524
Kin2,LODO,20110513,20110524;20110525,0.01,3,9;27;37,4.549923670762049,4.581568539913081,0.9930930054029852,0.9342395130642632,0.6910967183452461,0.6456498616271731,1.210500687056404,2.9376575884417093,1.0437206170353648,0.9422445058677285,0.9973741733424188,0.9167012756248026,1.0464684618187263,1.027864290060594,0.9651833973076585,0.9954013394896556,0.722176708552763,0.9891177721269074,0.6970329690174183,0.9845691552881478,0.9393688642044308,0.9571969753706976,0.7275076805168538,0.9277048772170868
Kin2,LODO,20110513,20110524;20110525,0.01,4,9;27;36;37,3.971159168330871,4.470136087332262,0.8883754522786406,0.9378247181557032,0.7340390354057521,0.6883999514946837,1.2897720934586774,2.7337457788566324,1.0758860428709889,0.9197924020111566,1.0525625338768287,0.8631335002402107,1.022158787001713,1.0656432657928092,0.9609611788255285,1.0000242788575968,0.7196208810161878,1.0158944215724584,0.6915277301287811,1.015919086328453,1.0674214181675143,1.0111594547032283,0.7440050331038115,0.9344346566630284
Kin2,LODO,20110513,20110524;20110525,0.01,5,9;15;27;36;37,4.370520051010356,4.719622702069069,0.9260316611949369,0.9844468299600508,0.6528239518306668,0.6426704699016927,1.1397673546207006,2.80880417489759,0.9763616077868376,0.861500855298134,0.9430867692141224,0.7995680228106758,1.0352829025482386,1.07745786564819,0.8606740390834031,0.970933646146424,0.681311407946124,0.9777249875342836,0.5863870413505907,0.9493060870751288,1.0678237343921664,0.9839823606518072,0.5725257944784385,0.8178280059549482
Kin2,LODO,20110524,20110513;20110525,0.01,3,27;35;56,3.6731860667203664,4.120344096538888,0.8914755614235866,0.8515789514625963,0.72437593908041,0.616863302666829,1.3233101877117288,2.2658536884268994,1.0098443866382163,0.7137982846026907,0.977081300303182,0.792338095380614,1.033531586700992,0.9008758871549712,1.0258898571922552,1.0219508110787543,0.7512054676114602,1.0509304722633754,0.7706540698899622,1.073999248516935,0.9429663802268606,0.922945138495223,0.7782406865182742,0.7666188212559666
Kin2,LODO,20110524,20110513;20110525,0.01,4,9;27;35;56,3.843168039909465,4.23345299345214,0.9078093097652608,0.8955207529602982,0.8792650545724562,0.7874001037224038,1.2418220770144135,3.0261109132473325,1.0649194301577922,0.876934270573745,1.0350033192581996,0.9397870677823787,1.0289043622787934,0.9331201722567348,1.0271403769327143,1.0125963802720472,0.8201213618651157,0.9945181193175502,0.8423797647567063,1.0070454477359154,0.9211126377649672,0.8899472773492613,0.8970665790611655,0.8831126651449043
