animal,date,k,transform,lambda,Q_ratio,Cspec_ratio,Aspec_ratio,Deff_frac_ratio,Gpair_ratio,Oorg_ratio,top_share_ratio,WMI_ratio
Chibi,20110621,5,remove_pc1,0.01,5.9801726958079175,7.175357633079755,0.8334320045928012,0.8697363275426991,0.7942602994445264,0.6907970359518469,1.4732851300765424,4.131085572744262
Chibi,20110622,3,broadband,0.01,3.6816390133979433,5.267958429871398,0.6988739684279969,1.0092907456307938,1.1504059753735871,1.1610941046629282,1.0041154458804182,4.274729353953395
Chibi,20110622,3,state_zscore,0.01,3.670062048894347,3.6524926217455578,1.004810256711865,0.8901151580331201,0.6059723837955594,0.5393852041658909,1.261381077524132,1.9795771675443607
Chibi,20110622,3,highpass4,0.01,4.740397792687743,4.594372553626262,1.0317834997830608,0.8637263249716504,0.78466027107204,0.6777317322843122,1.2105976969610952,3.2127180077549964
Chibi,20110622,3,delta,0.01,3.216795080432757,7.364047522033183,0.4368243239615342,1.1309611873305283,1.210420625572095,1.3689387478663777,0.9058947046828788,4.40359542955035
Chibi,20110622,3,remove_pc1,0.01,4.626106553091925,4.873890128617743,0.9491610255900268,0.9766200437148888,1.559985020207708,1.5235126386298237,1.0446097757497217,7.047931801283798
Chibi,20110622,4,broadband,0.01,3.8556164321230746,4.750478310290801,0.8116269942272514,1.034717878299097,1.1775301387634285,1.2184114868145357,0.9599380388141108,4.697727349649646
Chibi,20110622,4,state_zscore,0.01,3.6222361346880807,3.22620439170083,1.1227546971314073,0.8873862283201309,0.6059290700002828,0.5376931120570756,1.28045213017986,1.947651419866024
Chibi,20110622,4,highpass4,0.01,4.419950860606243,4.454470244191326,0.992250619783554,0.8744875889827474,0.7175651942542328,0.6275018566613209,1.3084894198884365,2.773527371382222
Chibi,20110622,4,delta,0.01,3.058111428108329,6.50153518932354,0.470367588432066,1.0640364547056165,1.1194521934676067,1.1911379431496982,0.9481270979771164,3.6426325563995543
Chibi,20110622,4,remove_pc1,0.01,4.709731530420983,4.395521813035381,1.0714840537143464,0.9857016144051104,1.485502143224597,1.4642618607787363,1.0273475928040108,6.896280254502529
Chibi,20110622,5,broadband,0.01,3.68568813603493,4.418567059582128,0.834136516733887,1.0150151614105176,1.0539085215681077,1.069733128131373,1.1168687102225907,3.9427026990773584
Chibi,20110622,5,state_zscore,0.01,3.498328109156469,3.284952294754319,1.0649555291085615,0.8623893498843146,0.5521073080222408,0.4761314624316793,1.4842891563515257,1.665664078678512
Chibi,20110622,5,highpass4,0.01,5.159544912203177,4.469171526388978,1.1544745780594396,0.912213702536421,0.8099903278391571,0.738884275976847,1.299155552649329,3.812306606823276
Chibi,20110622,5,delta,0.01,2.882497970222119,5.833271891365397,0.4941477139937344,1.062132207321398,0.9673035051149668,1.0274042070374847,0.9395630745445688,2.96149054138322
Chibi,20110622,5,remove_pc1,0.01,4.660338158879314,4.334778984569517,1.0751039846480497,0.9769836082393968,1.390022126889931,1.358028833061525,1.0066518285890855,6.328873591574959
George,20110112,3,broadband,0.003,0.7680206282545472,0.8367947534658657,0.9178124325870024,1.341474021730212,6.0113173142432,8.064026013434283,0.5838076192782812,6.193338325098809
George,20110112,3,state_zscore,0.003,0.9445223453136324,1.022086270799883,0.9241121540302568,1.275020527227397,3.412618214914663,4.351158275606311,0.6658886954532723,4.109766219306498
George,20110112,3,highpass4,0.003,1.1306115364896387,0.9992224745700832,1.131491299748923,1.0142934479370629,0.9381020720448336,0.9515107851712572,0.97369564351468,1.0757890708089377
George,20110112,3,delta,0.003,3.676936464034704,4.739605533519416,0.7757895542214833,0.9893479770263378,0.9355531088771336,0.9255875756682934,1.0562389161180994,3.403326707632269
George,20110112,3,remove_pc1,0.003,0.8229716166538603,0.9020994746757164,0.9122847754120454,1.4326833918473552,7.030406830044714,10.072347103335272,0.5759399108515103,8.28925577913067
George,20110112,4,broadband,0.003,1.2253472679075512,1.3740824241033962,0.8917567435644216,0.9768407554088488,2.5319862748552744,2.4733473854144634,1.0287182651252018,3.0307094613039074
George,20110112,4,state_zscore,0.003,1.064932702119774,1.151430684917967,0.9248778203228484,1.0858362391293614,2.9421224355766653,3.194663160504683,0.8885063875330028,3.4021012718787444
George,20110112,4,highpass4,0.003,3.613982765740228,2.96460667852119,1.219042914503235,0.6929500117015116,0.2352701042231059,0.1630304214744171,1.6026148346436628,0.5891891334999092
George,20110112,4,delta,0.003,4.62541050062423,5.681389402338644,0.8141336868619252,0.8616859402920225,0.9851784227757916,0.8489143955849696,1.437771732487887,3.9265775594698273
George,20110112,4,remove_pc1,0.003,0.8423006154416577,0.9225074067641827,0.9130556668332224,1.2644426059737222,5.126939750867923,6.482721059257702,0.7318140940899043,5.460399937949363
George,20110112,5,broadband,0.003,1.2498940731457042,1.42022610154272,0.8800669638362563,1.023822749956894,2.3780208789306374,2.434671875721675,1.015898422100058,3.0430819475190645
George,20110112,5,state_zscore,0.003,1.0993007333717209,1.234239169608595,0.8906707552640172,1.1474583399364902,2.8284562350074296,3.2455356960046404,0.8671553084736575,3.5678197708019868
George,20110112,5,highpass4,0.003,3.672590354847423,2.986148925644536,1.2298751489946953,0.7024920940836076,0.2407284925929201,0.1691098628671907,1.6002301605290696,0.6210712512756141
George,20110112,5,delta,0.003,4.731631589779489,7.019911493423811,0.6740300920050115,0.82546674904987,0.9627268412675009,0.7946989958841342,1.4994110903422024,3.760222873291428
George,20110112,5,remove_pc1,0.003,0.903922262494009,0.9854662227867532,0.9172534193387674,1.380379835757063,5.472670681997551,7.554364257168274,0.6697306286242312,6.828558031043426
George,20110113,3,broadband,0.001,1.6122139740703847,1.9090990876146463,0.8444894162538156,0.9976965581792252,1.0302264583990577,1.0278533916899126,0.904349278154094,1.657119601378117
George,20110113,3,state_zscore,0.001,1.211363425039491,1.5469136197294353,0.7830840776043888,0.9584421745850434,0.9415745415294986,0.9024447511174478,1.0189136097463618,1.0931885646225392
George,20110113,3,highpass4,0.001,2.3519947192398085,2.010660665986145,1.1697621379021972,1.0048546949321293,0.6437290131071038,0.6468541210846995,0.9519028771233708,1.52139747690972
George,20110113,3,delta,0.001,3.2662080443872794,4.32717532897789,0.7548129659813858,1.2117117029123825,1.5579054541255009,1.887732270794899,0.6430693954481523,6.165726328519815
George,20110113,3,remove_pc1,0.001,2.132237263848761,2.223312946585456,0.9590360489392336,0.8817779383333186,0.4505169967050158,0.3972559485386673,1.1995266252643362,0.8470439367597337
George,20110113,4,broadband,0.001,1.633552434585951,1.6747367154960315,0.9754085041971016,0.9780483260021374,1.0072546088328564,0.985143684026913,0.9480995125988644,1.609283863459133
George,20110113,4,state_zscore,0.001,1.2534281908432876,1.42374701905787,0.8803728289262465,0.988132707796908,1.0738441640386376,1.061100541563406,0.981951817937101,1.3300133321146517
