animal,local_pair_index,pair_id,ch1,ch2,distance_px,x1,y1,x2,y2,mid_x,mid_y,algorithm,bottleneck_threshold_px
Kin2,55,BP107-108,107,108,40.9053771740339,279.48300217218735,950.1949993646468,320.1879433607564,946.1505408613227,299.83547276647187,948.1727701129848,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,56,BP110-124,110,124,37.323768134906366,407.94895131341565,985.6617893168735,370.7082604387674,988.1506868573808,389.3286058760915,986.9062380871271,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,57,BP111-112,111,112,39.1331480424536,445.76701724038395,973.5284138069013,484.45114574583243,967.6172821481969,465.1090814931082,970.5728479775491,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,58,BP114-115,114,115,46.28036677207357,583.7596547448943,951.4394481349004,629.6609714043444,945.528316476196,606.7103130746193,948.4838823055481,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,59,BP116-117,116,117,48.60001089574468,671.8093502237135,938.6838482398011,719.7314795662841,930.594931233153,695.7704148949988,934.6393897364771,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,60,BP118-119,118,119,50.96972232072484,774.2934220105362,928.7282580777727,825.1024266147074,924.6837995744486,799.6979243126218,926.7060288261107,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,61,BP120-121,120,121,52.119516484217236,876.4888062711985,925.3060239595753,927.8751859276902,916.5948825678003,902.1819960994444,920.9504532636878,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,62,BP122-123,122,123,35.569906714730465,300.26850405571184,998.4173892119728,335.48838224723966,993.4395941309584,317.8784431514757,995.9284916714656,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,63,BP125-128,125,128,39.804988172928255,396.11276274085304,1032.3286182013826,360.02682197084505,1049.1286765998059,378.069792355849,1040.7286474005941,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Kin2,64,BP126-127,126,127,35.451339388112885,290.16444064010966,1056.284257028764,325.3843188316374,1052.2397985254397,307.77437973587354,1054.2620277771018,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",77.14537000208709
Su,1,BP001-009,1,9,56.51371949322068,75.38092117702251,855.3057806328118,131.67498877823482,850.3279855517975,103.52795497762867,852.8168830923046,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,2,BP002-003,2,3,44.88615413719007,83.75285943566428,810.505624903683,107.71392410694943,772.5499374109492,95.73339177130686,791.5277811573161,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,3,BP004-005,4,5,52.45110949884525,139.1808644583965,742.3720547323001,180.46318069928554,710.0163867057072,159.82202257884103,726.1942207190036,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,4,BP006-007,6,7,56.19840764970887,230.4061227249765,677.3496064865507,280.63775227682754,652.149518888916,255.52193750090203,664.7495626877333,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,5,BP008-014,8,14,43.02322378764217,330.5806943025186,635.660572683056,322.78613109619675,677.9718308716775,326.6834126993577,656.8162017773668,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,6,BP010-011,10,11,56.61763780924511,143.22248982463748,805.8389420152323,187.10299380096706,770.0610398704421,165.16274181280227,787.9499909428372,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,7,BP012-019,12,19,44.402372463939564,225.2097472540956,728.9942304520741,253.50112481778166,763.2165716340473,239.35543603593862,746.1054010430607,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,8,BP013-020,13,20,42.27948537354057,279.48300217218735,700.9941331213687,304.31012942195275,735.216474303342,291.89656579707,718.1053037123554,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,9,BP015-016,15,16,52.02879799641075,384.27657416829044,662.4162212435078,435.08557877246153,651.2161823112257,409.68107647037596,656.8162017773668,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,10,BP017-018,17,18,46.21459461358617,204.42424537057087,850.3279855517975,217.99255910009396,806.1500542077956,211.20840223533241,828.2390198797966,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,11,BP021-028,21,28,34.887591019147635,356.56257165692426,715.6164061718482,354.8304464999638,750.4609717389483,355.696509078444,733.0386889553982,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,12,BP022-029,22,29,32.609629460974624,401.8865132640542,697.8830111957348,420.07382741213837,724.9497719487499,410.9801703380963,711.4163915722423,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,13,BP023-031,23,31,43.59292663060862,461.64483117918746,677.3496064865507,505.2366476293569,677.0384942939875,483.4407394042722,677.194050390269,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,14,BP024-032,24,32,43.39528779282148,499.75158463231566,642.1939287268873,538.1470256116042,662.4162212435078,518.9493051219599,652.3050749851975,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,15,BP025-033,25,33,32.903556139746925,565.8610281229703,623.2160849805205,594.1524056866566,640.0161433789435,580.0067169048134,631.616114179732,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,16,BP026-027,26,27,52.65389031772726,269.37893875658506,825.1278979541627,301.13456663419214,783.1277519581046,285.2567526953886,804.1278249561336,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
