animal,fold,heldout_date,training_dates,lambda,k,evaluation,candidate,Q,Cspec,Aspec,Deff,Deff_frac,Gpair,WMI,Oorg,top_share,singular_values
Kin2,LODO,20110513,20110524;20110525,0.01,3,eyes_closed,9;27;37,0.187851011863214,0.2068371503251673,0.9082073097985284,2.676751068573441,0.892250356191147,0.7780747489661518,0.13041321157135,0.6942374719083862,0.5280336650332834,0.0991916582743;0.0609777474207;0.0276816061682
Kin2,LODO,20110513,20110524;20110525,0.01,3,recovery_eyes_closed,9;27;37,0.1748955561229355,0.1883691503006504,0.9284723949956236,2.8062552164313352,0.9354184054771116,0.5419703234105528,0.088666627945052,0.5069690157406139,0.4252566564851704,0.074375499431;0.0706042028651;0.0299158538269
Kin2,LODO,20110513,20110524;20110525,0.01,3,recovery_eyes_open,9;27;37,0.1578912729784019,0.1731328572408125,0.9119659635651314,2.894113397699885,0.9647044658999616,0.7423009804969078,0.1130661096699061,0.7161010709272874,0.4333275253790777,0.0684186345987;0.054757532945;0.0347151054347
Kin2,LODO,20110513,20110524;20110525,0.01,4,heldout_awake,9;27;36;37,0.2229504762609384,0.2710859183911087,0.8224347379758659,3.82257138832504,0.95564284708126,0.7500969400136895,0.159816425058055,0.7168247753416233,0.3611239729938889,0.0805127617682;0.0596560848376;0.0480883128867;0.0346933167683
Kin2,LODO,20110513,20110524;20110525,0.01,4,deep_anesthesia,9;27;36;37,0.88537182788736,1.2117909465677037,0.7306308323189751,3.584901934885985,0.8962254837214962,0.550600434308455,0.4368974773944152,0.493462140575361,0.465767622646443,0.412377531433;0.169685134103;0.157061528016;0.146247634335
Kin2,LODO,20110513,20110524;20110525,0.01,4,eyes_open,9;27;36;37,0.2240028954138751,0.2686846089371047,0.8337019984137276,3.782316627144376,0.945579156786094,0.5873377647980523,0.124405462077141,0.5553743483863716,0.3899539008459056,0.0873508028674;0.0525322986307;0.0489718028386;0.0351479910772
Kin2,LODO,20110513,20110524;20110525,0.01,4,eyes_closed,9;27;36;37,0.2717278449896715,0.3113111825644354,0.8728496122474787,3.591711994256091,0.8979279985640227,0.7226150836307814,0.1763123283939567,0.6488563157767615,0.3665116321049746,0.0995914159555;0.0937301170686;0.0517482594634;0.0266580525021
Kin2,LODO,20110513,20110524;20110525,0.01,4,recovery_eyes_closed,9;27;36;37,0.2398693056605834,0.2853348811600726,0.8406588941574827,3.6733427074695664,0.9183356768673916,0.5397854208201979,0.118904224615851,0.4957042097920662,0.385471463387424,0.0924627722747;0.0707044451719;0.0490760396967;0.0276260485173
Kin2,LODO,20110513,20110524;20110525,0.01,4,recovery_eyes_open,9;27;36;37,0.2050681540895799,0.2339833376067498,0.876422040078055,3.8226641959914303,0.9556660489978576,0.7620192969984781,0.1493380062782362,0.7282359708226606,0.3651539196127641,0.0748814402536;0.054688905746;0.0421117879701;0.0333860201199
Kin2,LODO,20110513,20110524;20110525,0.01,5,heldout_awake,9;15;27;36;37,0.2443302736716965,0.3038528373419167,0.8041072639277638,4.3531459620723,0.8706291924144599,0.7869371660806771,0.1673981150858364,0.6851304693857436,0.3618829104483561,0.088418950547;0.0605695444441;0.046956925859;0.0342373628171;0.0141474900045
