animal,date,state,block,session,start_s,rms_median,delta_fraction,theta_fraction,alpha_fraction,autocorr_25ms,autocorr_50ms,autocorr_100ms,pc1_variance_fraction,covariance_effective_rank,mean_abs_correlation
George,20110114,eyes_open,3,1,246.558,112.11160034278879,0.5502900742843175,0.1961114063166449,0.0850322421882524,0.5543593392271597,0.3514000648130052,0.06596975202069685,0.12402141357471445,27.595293104526476,0.06986479668168782
George,20110114,eyes_open,4,1,341.342,106.48052359839721,0.5626578416931466,0.18762850215672253,0.08176371734547612,0.5175907623127757,0.3494715640530602,0.06029880554499758,0.1378802212875409,26.849209218023177,0.0695998578235622
George,20110114,eyes_open,5,1,436.126,98.37393002388454,0.49084065675975735,0.22189281550339912,0.09985923534394031,0.4931597762201998,0.31495119746683026,0.05190377904563922,0.11459555850949045,27.494972013983716,0.06231129520084173
George,20110114,eyes_open,6,1,530.91,107.71149650886703,0.5675987828009815,0.20226250609622287,0.07989287621873459,0.544658117058164,0.35407261064571005,0.06421111050853158,0.14537073481977625,25.918380953730825,0.06993157205214541
George,20110114,eyes_closed,1,1,725.39,118.35534787037044,0.5496290147765671,0.20694539144337687,0.09970837011936716,0.5812789703820245,0.3410290860961468,0.08003600941917459,0.17407826416946764,22.95674777238637,0.07451391190761124
George,20110114,eyes_closed,2,1,817.578,124.1859348008818,0.5122350554304794,0.21020975288969243,0.12577753608081899,0.5938775134894109,0.344784405849336,0.13166690293309438,0.14162343360988794,26.798097434544527,0.07795588036464185
George,20110114,eyes_closed,3,1,909.766,117.3460576277982,0.5745397983229255,0.20324285881597665,0.09965946610330427,0.5602403718951372,0.28684325323443727,0.06973067548301025,0.16118845024042577,26.948730428753084,0.07723245134640433
George,20110114,eyes_closed,4,1,1001.954,138.1239561458088,0.677752125456965,0.16361776155754487,0.07105451931125718,0.6683875935993404,0.4030336577679485,0.14995146857703082,0.1679274405470422,25.115399928467397,0.0897850258952119
George,20110114,eyes_closed,5,1,1094.1419999999998,126.51608427252205,0.5652844103848762,0.2145085465997036,0.1013693896926877,0.632942157622757,0.35712993389579917,0.1185162696627399,0.14645737850208942,26.055409692212443,0.07959837142866814
George,20110114,eyes_closed,6,1,1186.33,103.26234933228007,0.5051875235358237,0.21325300495478908,0.1272410573436879,0.5237850829607669,0.25532949981141534,0.051831141618141945,0.15012248781958992,24.70308691923583,0.07452775051616299
George,20110114,deep_anesthesia,1,1,1858.73,177.83234566282545,0.9015270123385609,0.057301256995333325,0.014186052586136083,0.8962706266168982,0.7645630520704076,0.45073527205886005,0.2824773732099905,16.26812292147387,0.15961585080683519
George,20110114,deep_anesthesia,2,1,2069.32,180.13797741645234,0.9071161545857948,0.05890449876161202,0.012048482950513001,0.9011587865840883,0.7650566840544144,0.47121999522211366,0.33842284129377126,14.05153627948488,0.1672056074962736
George,20110114,deep_anesthesia,3,1,2279.91,176.05667427538057,0.9073743357248808,0.06444021196297978,0.011093867769924997,0.9041579204502362,0.777952860942638,0.48201195522498774,0.3571927396949797,12.982145977472955,0.16659801027544305
George,20110114,deep_anesthesia,4,1,2490.5,195.72485185018576,0.9216154048546482,0.05302873938426466,0.008809581980363258,0.9182811057599268,0.7991024496047834,0.5369845861223365,0.29174523368375094,14.065977707220933,0.1510770854945383
George,20110114,deep_anesthesia,5,1,2701.09,198.4952375299248,0.9253279885494834,0.05311526553393869,0.009774087095562482,0.918267036906784,0.8077173169671853,0.5309068520829638,0.2767721518694273,15.042013129234292,0.13788215086326075
George,20110114,deep_anesthesia,6,1,2911.68,209.60114100948684,0.9363269895390086,0.04357092644912701,0.010888309515312779,0.9160053042465838,0.813242240141663,0.5534479243279246,0.19702227036581077,18.573672440501596,0.12197074108189496
George,20110114,recovery_eyes_closed,1,2,273.88,91.74497692343706,0.6332173055931102,0.11830031046124218,0.06615298609825836,0.6659724722215562,0.5031307667302467,0.31809419687692564,0.22121071450599922,24.559132575626617,0.08472893674025601
George,20110114,recovery_eyes_closed,2,2,932.934,93.50684695934888,0.6695727651010009,0.1431747035321269,0.055193451971270326,0.6798073678090135,0.4692313759175596,0.1944119131236271,0.18088783274791256,26.4590661804391,0.09975544221562317
George,20110114,recovery_eyes_closed,3,2,1591.9879999999998,83.36816392035958,0.6018556069795007,0.14677232426011408,0.07651549814728094,0.5976913311311418,0.4223036338900825,0.21632900507823988,0.19069148661917534,26.450009299192647,0.07353893651739926
George,20110114,recovery_eyes_closed,4,2,2251.042,89.93509759474551,0.5711396216921135,0.15089290456131046,0.08234031902734808,0.5686168298385522,0.3824392046976518,0.18792994263842597,0.16869015598460677,26.206200897735734,0.06759010238976451
George,20110114,recovery_eyes_closed,5,2,2910.096,87.38892489349985,0.5686650813587322,0.1447513413472891,0.08891289240219154,0.5499877972838221,0.36074829884577614,0.1707182333425674,0.1614423099458227,26.572474967759167,0.06280620320357196
